hapid	haplength	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV1	115	269251	53	N	pvmrp2_1	1	0	FALSE
ASV2	106	224531	57	N	PVP01_1443400	4	0	FALSE
ASV3	110	202231	38	N	PVP01_0109700_1	0	30	FALSE
ASV4	139	187929	40	PvP01	PVP01_1024100	0	0	FALSE
ASV5	167	124983	37	PvP01	PSOP1	0	0	FALSE
ASV6	101	123272	47	PvP01	pvpi3k_2	0	0	FALSE
ASV7	179	102191	29	N	PVP01_1315600	1	0	FALSE
ASV8	105	90711	47	N	pvmrp2_2	3	0	FALSE
ASV9	56	79478	56	PvP01	pvabc-e1_3	0	0	FALSE
ASV10	195	69056	42	N	CG2_related	5	0	FALSE
ASV11	179	68456	20	PvP01	PVP01_1315600	0	0	FALSE
ASV12	184	65975	3	N	CCR4-3	1	2	FALSE
ASV13	160	64009	38	N	PVP01_1320900	1	0	FALSE
ASV14	139	57420	8	N	PVP01_1024100	2	0	FALSE
ASV15	52	50546	38	N	pvpi3k_12	1	0	FALSE
ASV16	51	50293	46	PvP01	pvpi3k_1	0	0	FALSE
ASV17	57	41556	45	PvP01	pvabc-e1_1	0	0	FALSE
ASV18	86	40244	41	PvP01	PVP01_0412700	0	0	FALSE
ASV19	168	39547	50	PvP01	PyKII	0	0	FALSE
ASV20	146	37201	54	PvP01	PVP01_0615400	0	0	FALSE
ASV21	138	35350	41	PvP01	PVP01_0834800	0	0	FALSE
ASV22	115	32162	3	N	pvmrp2_1	2	0	FALSE
ASV23	155	31880	33	N	PVP01_0513400	1	0	FALSE
ASV24	179	28887	10	N	PVP01_1315600	2	0	FALSE
ASV25	100	27043	21	N	PVP01_0117000	3	0	FALSE
ASV26	105	24827	5	N	pvmrp2_2	1	0	FALSE
ASV27	125	18798	41	N	PWP1	2	0	FALSE
ASV28	178	17977	53	N	PVP01_0215800_2	1	0	FALSE
ASV29	131	17900	52	PvP01	PVP01_1438700	0	0	FALSE
ASV30	183	15831	14	N	CCR4-3	2	1	FALSE
ASV31	156	15746	48	N	ABCI3	2	0	FALSE
ASV32	195	15616	13	N	CG2_related	5	0	FALSE
ASV33	56	14561	16	PvP01	pvpi3k_10	0	0	FALSE
ASV34	124	14281	35	N	ROM10	2	0	FALSE
ASV35	126	14192	49	PvP01	PVP01_0215600	0	0	FALSE
ASV36	184	13912	5	N	CCR4-3	1	2	FALSE
ASV37	179	13419	17	N	ATAT	3	0	FALSE
ASV38	115	13372	4	PvP01	pvmrp2_1	0	0	FALSE
ASV39	56	13349	49	PvP01	pvdhps_4	0	0	FALSE
ASV40	99	13259	37	N	ATG11	1	0	FALSE
ASV41	138	13183	41	PvP01	PSOP13	0	0	FALSE
ASV42	56	13150	35	N	pvpi3k_10	1	0	FALSE
ASV43	160	13073	4	PvP01	PVP01_1320900	0	0	FALSE
ASV44	130	13040	49	N	MyoB	1	0	FALSE
ASV45	141	12952	29	PvP01	ATG23	0	0	FALSE
ASV46	150	12410	27	N	HSP20	1	0	FALSE
ASV47	170	12150	47	N	pBAS	3	0	FALSE
ASV48	88	12057	26	N	pvmdr2_1	1	0	FALSE
ASV49	187	12037	40	PvP01	PVP01_1133200	0	0	FALSE
ASV50	179	11298	25	PvP01	ATAT	0	0	FALSE
ASV51	189	11161	27	PvP01	PVP01_1464400	0	0	FALSE
ASV52	155	11013	18	PvP01	PVP01_0513400	0	0	FALSE
ASV53	148	10857	14	PvP01	pvpi3k_6	0	0	FALSE
ASV54	131	10065	42	N	MB2	1	0	FALSE
ASV55	148	10015	32	N	pvpi3k_6	1	0	FALSE
ASV56	173	9931	35	N	RPA2	1	0	FALSE
ASV57	177	9670	36	PvP01	LipB	0	0	FALSE
ASV58	180	9571	46	N	ETRAMP11.2	1	0	FALSE
ASV59	81	9434	36	PvP01	RAMA	0	0	FALSE
ASV60	170	9296	6	N	pBAS	2	0	FALSE
ASV61	63	9141	37	N	pvmrp1_3	1	0	FALSE
ASV62	52	9094	19	PvP01	pvpi3k_12	0	0	FALSE
ASV63	121	8805	19	PvP01	PIGM	0	0	FALSE
ASV64	156	8757	7	PvP01	ABCI3	0	0	FALSE
ASV65	63	8731	41	PvP01	pvmdr2_6	0	0	FALSE
ASV66	91	8097	21	N	SLARP	1	0	FALSE
ASV67	195	8080	4	N	CG2_related	6	0	FALSE
ASV68	47	7981	37	N	pvmdr1_1	1	0	FALSE
ASV69	150	7777	31	PvP01	HSP20	0	0	FALSE
ASV70	153	7585	32	PvP01	PVP01_1430700	0	0	FALSE
ASV71	157	7575	30	N	GAP50	2	0	FALSE
ASV72	47	7187	21	PvP01	pvmdr1_1	0	0	FALSE
ASV73	184	7073	10	N	CCR4-3	2	2	FALSE
ASV74	58	6926	34	PvP01	pvpi3k_5	0	0	FALSE
ASV75	174	6838	37	PvP01	PKG	0	0	FALSE
ASV76	177	6814	31	N	VPS11	1	0	FALSE
ASV77	116	6674	5	N	pvpi3k_2	1	15	FALSE
ASV78	86	6162	5	N	PVP01_0412700	2	0	FALSE
ASV79	172	6085	47	N	pvmdr2_3	1	0	FALSE
ASV80	165	6070	49	N	CIA1	2	0	FALSE
ASV81	194	5918	52	N	PVP01_0314600	2	0	FALSE
ASV82	167	5877	36	N	PVP01_0933300	1	0	FALSE
ASV83	56	5871	3	N	pvabc-e1_3	1	0	FALSE
ASV84	179	5846	6	N	ATAT	1	0	FALSE
ASV85	146	5647	24	N	PVP01_0707300	0	1	FALSE
ASV86	68	5641	22	PvP01	B9	0	0	FALSE
ASV87	147	5615	47	N	PVP01_0518900	1	0	FALSE
ASV88	125	5524	20	N	MSP5	3	0	FALSE
ASV89	167	5340	6	PvP01	PVP01_0933300	0	0	FALSE
ASV90	111	5250	26	PvP01	PVP01_1445500	0	0	FALSE
ASV91	63	5209	17	N	pvmrp1_3	1	0	FALSE
ASV92	133	5158	31	N	EIF3K_2	4	0	FALSE
ASV93	178	5113	4	N	PVP01_0215800_2	1	0	FALSE
ASV94	121	5038	23	N	PIGM	2	0	FALSE
ASV95	182	5003	21	N	PVP01_0103700_2	2	0	FALSE
ASV96	54	4930	27	PvP01	pvmdr2_5	0	0	FALSE
ASV97	155	4918	3	N	PVP01_1465800	0	13	FALSE
ASV98	123	4867	21	PvP01	MED14	0	0	FALSE
ASV99	181	4792	9	N	CCR4-3	2	1	FALSE
ASV100	173	4787	6	N	GAPDH	3	0	FALSE
ASV101	115	4649	26	N	PVP01_0530700	11	0	FALSE
ASV102	110	4649	21	N	PVP01_1144400	2	0	FALSE
ASV103	179	4586	40	N	FRM1_2	1	0	FALSE
ASV104	141	4493	48	PvP01	PVP01_1421800	0	0	FALSE
ASV105	115	4391	43	PvP01	pvmdr1_4	0	0	FALSE
ASV106	200	4358	37	PvP01	PVP01_0103700_1	0	0	FALSE
ASV107	138	4277	45	N	DRS1	1	0	FALSE
ASV108	130	4243	24	N	SYN13	1	0	FALSE
ASV109	93	4177	34	PvP01	pvmrp1_2	0	0	FALSE
ASV110	115	4099	14	N	pvmdr1_4	1	0	FALSE
ASV111	123	4052	6	N	MED14	4	0	FALSE
ASV112	157	3962	22	N	GAP50	1	0	FALSE
ASV113	181	3900	54	N	pvmrp1_6	1	0	FALSE
ASV114	188	3783	29	N	PVP01_1427600	1	0	FALSE
ASV115	138	3779	10	N	PVP01_0834800	1	0	FALSE
ASV116	167	3637	9	N	PSOP1	1	0	FALSE
ASV117	110	3513	17	N	PVP01_1144400	3	0	FALSE
