hapid	haplength	total_reads	total_samples	strain	refid_3D7	snv_dist_from_3D7	indel_dist_from_3D7	refid_DD2	snv_dist_from_DD2	indel_dist_from_DD2	snv_filter	indel_filter	bimera
ASV1	211	993874	161	3D7	PF3D7_0419900_2	0	0	PfMDR1_1	99	7	PASS	PASS	FALSE
ASV2	194	511848	161	3D7	PF3D7_0910000	0	0	PF3D7_0910000	1	0	PASS	PASS	FALSE
ASV3	35	473784	162	N	PfMDR1_3	1	0	PfDHPS_2	20	6	PASS	PASS	FALSE
ASV4	217	418972	142	DD2	PF3D7_1473700	1	0	PF3D7_1473700	0	0	PASS	PASS	FALSE
ASV5	296	330510	156	N	PSOP24	1	0	PF3D7_0217200	135	3	PASS	PASS	FALSE
ASV6	251	328325	95	DD2	PF3D7_0827100	2	0	PF3D7_0827100	0	0	PASS	PASS	FALSE
ASV7	240	326245	116	DD2	PF3D7_0806200	3	0	PF3D7_0806200	0	0	PASS	PASS	FALSE
ASV8	320	286777	163	N	PfTRAP_1	6	0	PfTRAP_1	1	0	PASS	PASS	FALSE
ASV9	206	286041	150	N	PF3D7_1252100	1	0	PF3D7_1252100	2	0	PASS	PASS	FALSE
ASV10	259	267716	85	N	PfSERA2_1	4	0	PfSERA2_1	1	0	PASS	PASS	FALSE
ASV11	256	247269	159	DD2	PF3D7_0211700	0	30	PF3D7_0211700	0	0	PASS	PASS	FALSE
ASV12	259	232668	83	N	PfSERA2_1	5	0	PfSERA2_1	2	0	PASS	PASS	FALSE
ASV13	283	232358	164	3D7	PF3D7_1408100_1	0	0	PF3D7_1035100	138	3	PASS	PASS	FALSE
ASV14	152	224478	141	N	PfDHFR_1	1	0	PfDHFR_1	1	0	PASS	PASS	FALSE
ASV15	165	200492	150	DD2	PF3D7_0806300	1	0	PF3D7_0806300	0	0	PASS	PASS	FALSE
ASV16	148	194233	162	3D7	RAMA	0	0	RAMA	1	0	PASS	PASS	FALSE
ASV17	172	185851	97	3D7	PF3D7_0401900	0	0	PF3D7_0401900	0	36	PASS	PASS	FALSE
ASV18	234	185178	109	3D7	PF3D7_1455300	0	0	PF3D7_1455300	1	0	PASS	PASS	FALSE
ASV19	255	176451	164	3D7	PF3D7_0630600	0	0	PF3D7_1246500	118	3	PASS	PASS	FALSE
ASV20	168	174963	145	3D7	PF3D7_1448500	0	0	PF3D7_1448500	1	0	PASS	PASS	FALSE
ASV21	211	173790	114	DD2	PF3D7_0504400	1	0	PF3D7_0504400	0	0	PASS	PASS	FALSE
ASV22	166	161650	126	N	PF11_0373	1	0	PF11_0373	1	0	PASS	PASS	FALSE
ASV23	267	157476	164	3D7	PF3D7_1145400	0	0	PF3D7_1353100	133	9	PASS	PASS	FALSE
ASV24	251	152993	39	N	PF3D7_0827100	1	0	PF3D7_0827100	3	0	PASS	PASS	FALSE
ASV25	243	135578	132	DD2	PF13_0125	1	0	PF13_0125	0	0	PASS	PASS	FALSE
ASV26	266	134265	153	N	PF3D7_1211900	1	0	PF3D7_1114900	122	7	PASS	PASS	FALSE
ASV27	282	132814	102	N	B9	2	0	B9	1	0	PASS	PASS	FALSE
ASV28	337	129869	141	N	PfTRAP_1	147	17	PfTRAP_1	149	17	FAIL	PASS	FALSE
ASV29	176	128545	117	N	MSRP4	2	0	PF3D7_1018600	81	4	PASS	PASS	FALSE
ASV30	160	128404	157	N	PF3D7_1302900	3	0	PF3D7_1302900	3	0	PASS	PASS	FALSE
ASV31	170	117329	151	DD2	PfDHFR_2	1	0	PfDHFR_2	0	0	PASS	PASS	FALSE
ASV32	274	117082	156	DD2	MSP10	1	0	MSP10	0	0	PASS	PASS	FALSE
ASV33	234	114811	165	3D7	PF3D7_1008700	0	0	PF3D7_1320700	118	2	PASS	PASS	FALSE
ASV34	237	108189	164	3D7	PfKelch13C580Y	0	0	PF3D7_1469600	113	2	PASS	PASS	FALSE
ASV35	226	102287	130	3D7	GAMA	0	0	RhopH3	108	6	PASS	PASS	FALSE
ASV36	154	102245	53	N	PF3D7_0401900	1	18	PF3D7_0724700	74	1	PASS	PASS	FALSE
ASV37	234	100873	55	N	PF3D7_1455300	1	0	PF3D7_1455300	2	0	PASS	PASS	FALSE
ASV38	219	96387	100	N	Pfs16	1	0	Pfs16	1	0	PASS	PASS	FALSE
ASV39	251	92495	22	N	PF3D7_0827100	2	0	PF3D7_0827100	2	0	PASS	PASS	FALSE
ASV40	214	92322	145	3D7	PF3D7_0422500	0	0	PF3D7_0422500	1	0	PASS	PASS	FALSE
ASV41	222	91729	79	N	PF3D7_0612900	2	0	PF3D7_0612900	2	0	PASS	PASS	FALSE
ASV42	240	91481	29	3D7	PF3D7_0806200	0	0	PF3D7_0806200	3	0	PASS	PASS	FALSE
ASV43	209	91010	124	3D7	PF3D7_0807800	0	0	PF3D7_0401900	94	1	PASS	PASS	FALSE
ASV44	235	85438	137	3D7	PF3D7_0501800	0	0	PfDHPS_1	99	9	PASS	PASS	FALSE
ASV45	240	80399	21	N	PF3D7_0806200	2	0	PF3D7_0806200	1	0	PASS	PASS	FALSE
ASV46	241	80214	133	N	PF3D7_0519300	2	0	PF3D7_0935400	112	3	PASS	PASS	FALSE
ASV47	276	79719	145	3D7	PF3D7_0525100	0	0	PF3D7_0525100	2	0	PASS	PASS	FALSE
ASV48	226	78010	163	3D7	PF3D7_1408000	0	0	PF3D7_0710400	98	10	PASS	PASS	FALSE
ASV49	225	77538	134	3D7	PF3D7_0411900_1	0	0	PF3D7_0411900_1	1	0	PASS	PASS	FALSE
ASV50	186	76919	72	3D7	PF3D7_0220800	0	0	PF3D7_0220800	1	0	PASS	PASS	FALSE
ASV51	303	76333	108	3D7	PF3D7_0802000	0	0	PF3D7_0802000	1	0	PASS	PASS	FALSE
ASV52	219	68858	65	3D7	Pfs16	0	0	Pfs16	2	0	PASS	PASS	FALSE
ASV53	166	67928	129	DD2	PF3D7_0716300	1	0	PF3D7_0716300	0	0	PASS	PASS	FALSE
ASV54	247	66144	92	N	PF3D7_1429500	2	0	PF3D7_1429500	1	0	PASS	PASS	FALSE
ASV55	250	62192	134	3D7	PF3D7_0411900_2	0	0	PF3D7_0411900_2	1	0	PASS	PASS	FALSE
ASV56	282	58897	53	DD2	B9	1	0	B9	0	0	PASS	PASS	FALSE
ASV57	244	58086	125	DD2	PF3D7_0935400	2	0	PF3D7_0935400	0	0	PASS	PASS	FALSE
ASV58	190	57778	73	N	PF3D7_1418100	2	0	PF3D7_1418100	1	0	PASS	PASS	FALSE
ASV59	163	56186	161	3D7	PF3D7_1464700	0	0	PF3D7_1464700	1	0	PASS	PASS	FALSE
ASV60	222	54820	42	DD2	PF3D7_0612900	2	0	PF3D7_0612900	0	0	PASS	PASS	FALSE
ASV61	186	54409	48	N	PF3D7_0220800	1	0	PF3D7_0220800	2	0	PASS	PASS	FALSE
ASV62	176	52608	50	N	MSRP4	1	0	PF3D7_1018600	82	4	PASS	PASS	FALSE
ASV63	254	52084	80	DD2	PF3D7_1340400	1	0	PF3D7_1340400	0	0	PASS	PASS	FALSE
ASV64	222	49723	32	N	PF3D7_0612900	3	0	PF3D7_0612900	1	0	PASS	PASS	FALSE
ASV65	178	46501	163	3D7	Pf113	0	0	PF3D7_0830800_1	81	1	PASS	PASS	FALSE
ASV66	247	44872	58	DD2	PF3D7_1429500	1	0	PF3D7_1429500	0	0	PASS	PASS	FALSE
ASV67	251	44396	14	3D7	PF3D7_0827100	0	0	PF3D7_0827100	2	0	PASS	PASS	FALSE
ASV68	152	43694	24	3D7	PfDHFR_1	0	0	PfDHFR_1	2	0	PASS	PASS	FALSE
ASV69	211	42825	49	3D7	PF3D7_0504400	0	0	PF3D7_0504400	1	0	PASS	PASS	FALSE
ASV70	155	42146	163	DD2	PF3D7_0724700	1	0	PF3D7_0724700	0	0	PASS	PASS	FALSE
ASV71	236	41669	104	N	PF3D7_1407800	1	0	PfSERA3	112	3	PASS	PASS	FALSE
ASV72	169	41001	108	N	PF3D7_1329100	1	0	PF11_0373	71	3	PASS	PASS	FALSE
ASV73	279	40722	134	3D7	PF3D7_1354200	0	0	PF3D7_0217200	111	16	PASS	PASS	FALSE
ASV74	41	40639	84	3D7	PfDHPS_2	0	0	PfDHPS_2	1	0	PASS	PASS	FALSE
ASV75	166	40442	34	N	PF11_0373	2	0	PF11_0373	2	0	PASS	PASS	FALSE
ASV76	190	39137	46	DD2	PF3D7_1418100	1	0	PF3D7_1418100	0	0	PASS	PASS	FALSE
ASV77	234	36353	94	N	PF3D7_0728200	2	0	PF3D7_1455300	112	6	PASS	PASS	FALSE
ASV78	164	36030	128	DD2	PF3D7_1239800_1	1	0	PF3D7_1239800_1	0	0	PASS	PASS	FALSE
ASV79	186	35771	161	3D7	PF3D7_1346400	0	0	PF3D7_1346400	1	0	PASS	PASS	FALSE
ASV80	303	35677	47	DD2	PF3D7_0802000	1	0	PF3D7_0802000	0	0	PASS	PASS	FALSE
ASV81	218	34099	152	N	GEST	3	0	GEST	1	0	PASS	PASS	FALSE
ASV82	248	32522	79	N	PF3D7_0615900	2	3	PF3D7_0615900	1	0	PASS	PASS	FALSE
ASV83	254	32476	48	N	PF3D7_1340400	2	0	PF3D7_1340400	1	0	PASS	PASS	FALSE
ASV84	217	32069	14	N	PF3D7_1473700	2	0	PF3D7_1473700	1	0	PASS	PASS	FALSE
ASV85	269	31701	122	N	PF3D7_1352900	3	0	PF3D7_1352900	1	0	PASS	PASS	FALSE
ASV86	176	31513	102	3D7	MSP11.H103.MSP3.7	0	0	PF3D7_0830800_1	96	1	PASS	PASS	FALSE
ASV87	41	31154	83	N	PfDHPS_2	1	0	PfDHPS_2	2	0	PASS	PASS	FALSE
ASV88	190	30743	14	N	PF3D7_0401900	1	18	PF3D7_0401900	1	18	PASS	PASS	FALSE
ASV89	230	30431	149	3D7	PF3D7_1110200	0	0	PF3D7_1469600	106	5	PASS	PASS	FALSE
ASV90	276	30199	161	N	PF3D7_1353100	2	0	PF3D7_1353100	1	0	PASS	PASS	FALSE
ASV91	234	29790	72	3D7	PF3D7_0728200	0	0	PF3D7_1455300	113	6	PASS	PASS	FALSE
ASV92	179	29762	150	N	PF3D7_0104100_1	2	0	PF3D7_1447900	92	1	PASS	PASS	FALSE
ASV93	208	29417	164	3D7	MSRP3	0	0	PfMDR1_1	91	4	PASS	PASS	FALSE
ASV94	263	28923	159	N	PF3D7_1302700	1	0	PF3D7_1302700	1	0	PASS	PASS	FALSE
ASV95	145	28599	123	3D7	CS	0	0	CS	1	0	PASS	PASS	FALSE
ASV96	154	27650	163	3D7	MAL13P1.50	0	0	PF3D7_0724700	73	1	PASS	PASS	FALSE
ASV97	243	26258	33	N	PF13_0125	2	0	PF13_0125	1	0	PASS	PASS	FALSE
ASV98	169	25360	58	3D7	PF3D7_1329100	0	0	PF11_0373	72	3	PASS	PASS	FALSE
ASV99	259	24837	119	DD2	PF3D7_1114900	1	0	PF3D7_1114900	0	0	PASS	PASS	FALSE
ASV100	217	24362	7	3D7	PF3D7_1473700	0	0	PF3D7_1473700	1	0	PASS	PASS	FALSE
ASV101	222	24343	21	N	PF3D7_0612900	2	0	PF3D7_0612900	2	0	PASS	PASS	FALSE
ASV102	236	24199	60	3D7	PF3D7_1407800	0	0	PfSERA3	113	3	PASS	PASS	FALSE
ASV103	254	23856	41	N	PF3D7_1340400	2	0	PF3D7_1340400	1	0	PASS	PASS	FALSE
ASV104	279	23390	126	N	PF3D7_1472300	1	3	PF3D7_1472300	0	3	PASS	PASS	FALSE
ASV105	274	23313	69	3D7	PF3D7_1429800	0	0	PF3D7_1035700	133	11	PASS	PASS	FALSE
ASV106	188	22876	143	N	PF3D7_1475900	6	0	PF3D7_1475900	4	0	PASS	PASS	FALSE
ASV107	190	22682	29	3D7	PF3D7_1418100	0	0	PF3D7_1418100	1	0	PASS	PASS	FALSE
ASV108	294	22588	115	3D7	PF3D7_1466800	0	0	PF3D7_1465800	120	8	PASS	PASS	FALSE
ASV109	226	22464	34	N	GAMA	1	0	RhopH3	108	6	PASS	PASS	FALSE
ASV110	209	22326	27	N	PF3D7_0807800	3	0	PF3D7_0729700	83	10	PASS	PASS	FALSE
