hapid	haplength	total_reads	total_samples	strain	refid_3D7	snv_dist_from_3D7	indel_dist_from_3D7	refid_DD2	snv_dist_from_DD2	indel_dist_from_DD2	snv_filter	indel_filter	bimera
ASV1	211	1311434	181	3D7	PF3D7_0419900_2	0	0	PfMDR1_1	99	7	PASS	PASS	FALSE
ASV2	259	547590	99	N	PfSERA2_1	4	0	PfSERA2_1	1	0	PASS	PASS	FALSE
ASV3	194	456127	180	3D7	PF3D7_0910000	0	0	PF3D7_0910000	1	0	PASS	PASS	FALSE
ASV4	217	398245	141	DD2	PF3D7_1473700	1	0	PF3D7_1473700	0	0	PASS	PASS	FALSE
ASV5	259	383608	85	N	PfSERA2_1	5	0	PfSERA2_1	2	0	PASS	PASS	FALSE
ASV6	35	332513	176	N	PfMDR1_3	1	0	PfDHPS_2	20	6	PASS	PASS	FALSE
ASV7	206	255604	143	N	PF3D7_1252100	1	0	PF3D7_1252100	2	0	PASS	PASS	FALSE
ASV8	283	241690	179	3D7	PF3D7_1408100_1	0	0	PF3D7_1035100	138	3	PASS	PASS	FALSE
ASV9	240	212064	100	DD2	PF3D7_0806200	3	0	PF3D7_0806200	0	0	PASS	PASS	FALSE
ASV10	165	211190	122	DD2	PF3D7_0806300	1	0	PF3D7_0806300	0	0	PASS	PASS	FALSE
ASV11	160	195083	150	N	PF3D7_1302900	3	0	PF3D7_1302900	3	0	PASS	PASS	FALSE
ASV12	148	191272	180	3D7	RAMA	0	0	RAMA	1	0	PASS	PASS	FALSE
ASV13	234	164451	105	N	PF3D7_1455300	1	0	PF3D7_1455300	2	0	PASS	PASS	FALSE
ASV14	222	161997	99	N	PF3D7_0612900	2	0	PF3D7_0612900	2	0	PASS	PASS	FALSE
ASV15	256	153431	172	DD2	PF3D7_0211700	0	30	PF3D7_0211700	0	0	PASS	PASS	FALSE
ASV16	320	150421	180	N	PfTRAP_1	6	0	PfTRAP_1	1	0	PASS	PASS	FALSE
ASV17	266	148696	144	N	PF3D7_1211900	1	0	PF3D7_1114900	122	7	PASS	PASS	FALSE
ASV18	237	146841	181	3D7	PfKelch13C580Y	0	0	PF3D7_1469600	113	2	PASS	PASS	FALSE
ASV19	219	142000	132	N	Pfs16	1	0	Pfs16	1	0	PASS	PASS	FALSE
ASV20	172	141986	84	3D7	PF3D7_0401900	0	0	PF3D7_0401900	0	36	PASS	PASS	FALSE
ASV21	240	138809	64	3D7	PF3D7_0806200	0	0	PF3D7_0806200	3	0	PASS	PASS	FALSE
ASV22	217	133122	44	3D7	PF3D7_1473700	0	0	PF3D7_1473700	1	0	PASS	PASS	FALSE
ASV23	267	132558	179	3D7	PF3D7_1145400	0	0	PF3D7_1353100	133	9	PASS	PASS	FALSE
ASV24	154	132140	66	N	PF3D7_0401900	1	18	PF3D7_0724700	74	1	PASS	PASS	FALSE
ASV25	152	131427	97	3D7	PfDHFR_1	0	0	PfDHFR_1	2	0	PASS	PASS	FALSE
ASV26	234	118587	177	3D7	PF3D7_1008700	0	0	PF3D7_1320700	118	2	PASS	PASS	FALSE
ASV27	152	116131	80	N	PfDHFR_1	1	0	PfDHFR_1	1	0	PASS	PASS	FALSE
ASV28	214	113807	153	3D7	PF3D7_0422500	0	0	PF3D7_0422500	1	0	PASS	PASS	FALSE
ASV29	251	112568	99	DD2	PF3D7_0827100	2	0	PF3D7_0827100	0	0	PASS	PASS	FALSE
ASV30	226	102805	178	3D7	GAMA	0	0	RhopH3	108	6	PASS	PASS	FALSE
ASV31	226	99334	178	3D7	PF3D7_1408000	0	0	PF3D7_0710400	98	10	PASS	PASS	FALSE
ASV32	176	96727	129	N	MSRP4	2	0	PF3D7_1018600	81	4	PASS	PASS	FALSE
ASV33	165	95850	60	3D7	PF3D7_0806300	0	0	PF3D7_0806300	1	0	PASS	PASS	FALSE
ASV34	251	93531	67	N	PF3D7_0827100	2	0	PF3D7_0827100	2	0	PASS	PASS	FALSE
ASV35	163	85644	175	3D7	PF3D7_1464700	0	0	PF3D7_1464700	1	0	PASS	PASS	FALSE
ASV36	274	84856	138	DD2	MSP10	1	0	MSP10	0	0	PASS	PASS	FALSE
ASV37	234	79934	67	3D7	PF3D7_1455300	0	0	PF3D7_1455300	1	0	PASS	PASS	FALSE
ASV38	296	79909	149	N	PSOP24	1	0	PF3D7_0217200	135	3	PASS	PASS	FALSE
