hapid	haplength	total_reads	total_samples	strain	refid_3D7	snv_dist_from_3D7	indel_dist_from_3D7	refid_DD2	snv_dist_from_DD2	indel_dist_from_DD2	snv_filter	indel_filter	bimera
ASV1	211	686663	164	3D7	PF3D7_0419900_2	0	0	PfMDR1_1	99	7	PASS	PASS	FALSE
ASV2	251	487448	97	DD2	PF3D7_0827100	2	0	PF3D7_0827100	0	0	PASS	PASS	FALSE
ASV3	194	391659	163	3D7	PF3D7_0910000	0	0	PF3D7_0910000	1	0	PASS	PASS	FALSE
ASV4	152	372121	129	N	PfDHFR_1	1	0	PfDHFR_1	1	0	PASS	PASS	FALSE
ASV5	234	367413	166	3D7	PF3D7_1008700	0	0	PF3D7_1320700	118	2	PASS	PASS	FALSE
ASV6	255	322866	164	3D7	PF3D7_0630600	0	0	PF3D7_1246500	118	3	PASS	PASS	FALSE
ASV7	296	317825	155	N	PSOP24	1	0	PF3D7_0217200	135	3	PASS	PASS	FALSE
ASV8	148	291176	163	3D7	RAMA	0	0	RAMA	1	0	PASS	PASS	FALSE
ASV9	240	286878	118	DD2	PF3D7_0806200	3	0	PF3D7_0806200	0	0	PASS	PASS	FALSE
ASV10	166	273504	145	N	PF11_0373	1	0	PF11_0373	1	0	PASS	PASS	FALSE
ASV11	219	270582	129	N	Pfs16	1	0	Pfs16	1	0	PASS	PASS	FALSE
ASV12	320	263321	161	N	PfTRAP_1	6	0	PfTRAP_1	1	0	PASS	PASS	FALSE
ASV13	259	259795	121	DD2	PF3D7_1114900	1	0	PF3D7_1114900	0	0	PASS	PASS	FALSE
ASV14	256	259053	152	DD2	PF3D7_0211700	0	30	PF3D7_0211700	0	0	PASS	PASS	FALSE
ASV15	251	258206	40	N	PF3D7_0827100	2	0	PF3D7_0827100	2	0	PASS	PASS	FALSE
ASV16	234	252837	105	N	PF3D7_1455300	1	0	PF3D7_1455300	2	0	PASS	PASS	FALSE
ASV17	283	249652	165	3D7	PF3D7_1408100_1	0	0	PF3D7_1035100	138	3	PASS	PASS	FALSE
ASV18	190	241979	99	N	PF3D7_1418100	2	0	PF3D7_1418100	1	0	PASS	PASS	FALSE
ASV19	237	215407	164	3D7	PfKelch13C580Y	0	0	PF3D7_1469600	113	2	PASS	PASS	FALSE
ASV20	243	201518	158	DD2	PF13_0125	1	0	PF13_0125	0	0	PASS	PASS	FALSE
ASV21	267	192869	165	3D7	PF3D7_1145400	0	0	PF3D7_1353100	133	9	PASS	PASS	FALSE
ASV22	154	189739	92	N	PF3D7_0401900	1	18	PF3D7_0724700	74	1	PASS	PASS	FALSE
ASV23	259	176434	104	N	PfSERA2_1	5	0	PfSERA2_1	2	0	PASS	PASS	FALSE
ASV24	274	162568	148	DD2	MSP10	1	0	MSP10	0	0	PASS	PASS	FALSE
ASV25	217	158139	134	DD2	PF3D7_1473700	1	0	PF3D7_1473700	0	0	PASS	PASS	FALSE
ASV26	170	153867	141	DD2	PfDHFR_2	1	0	PfDHFR_2	0	0	PASS	PASS	FALSE
ASV27	211	152707	114	3D7	PF3D7_0504400	0	0	PF3D7_0504400	1	0	PASS	PASS	FALSE
ASV28	168	150916	132	3D7	PF3D7_1448500	0	0	PF3D7_1448500	1	0	PASS	PASS	FALSE
ASV29	226	150825	151	3D7	GAMA	0	0	RhopH3	108	6	PASS	PASS	FALSE
ASV30	206	148019	133	N	PF3D7_1252100	1	0	PF3D7_1252100	2	0	PASS	PASS	FALSE
ASV31	177	135485	163	N	PF3D7_1018600	0	6	PF3D7_1018600	0	3	PASS	PASS	FALSE
ASV32	152	132687	37	3D7	PfDHFR_1	0	0	PfDHFR_1	2	0	PASS	PASS	FALSE
ASV33	259	128882	45	3D7	PF3D7_1114900	0	0	PF3D7_1114900	1	0	PASS	PASS	FALSE
ASV34	247	128551	110	N	PF3D7_1429500	2	0	PF3D7_1429500	1	0	PASS	PASS	FALSE
ASV35	241	121615	140	N	PF3D7_0519300	2	0	PF3D7_0935400	112	3	PASS	PASS	FALSE
ASV36	222	120075	115	N	PF3D7_0612900	2	0	PF3D7_0612900	2	0	PASS	PASS	FALSE
