hapid	haplength	total_reads	total_samples	strain	refid_3D7	snv_dist_from_3D7	indel_dist_from_3D7	refid_DD2	snv_dist_from_DD2	indel_dist_from_DD2	snv_filter	indel_filter	bimera
ASV1	211	1388543	168	3D7	PF3D7_0419900_2	0	0	PfMDR1_1	99	7	PASS	PASS	FALSE
ASV2	194	806861	171	3D7	PF3D7_0910000	0	0	PF3D7_0910000	1	0	PASS	PASS	FALSE
ASV3	217	511912	148	DD2	PF3D7_1473700	1	0	PF3D7_1473700	0	0	PASS	PASS	FALSE
ASV4	296	433214	160	N	PSOP24	1	0	PF3D7_0217200	135	3	PASS	PASS	FALSE
ASV5	240	414347	121	DD2	PF3D7_0806200	3	0	PF3D7_0806200	0	0	PASS	PASS	FALSE
ASV6	320	322705	167	N	PfTRAP_1	6	0	PfTRAP_1	1	0	PASS	PASS	FALSE
ASV7	283	313972	170	3D7	PF3D7_1408100_1	0	0	PF3D7_1035100	138	3	PASS	PASS	FALSE
ASV8	256	290937	168	DD2	PF3D7_0211700	0	30	PF3D7_0211700	0	0	PASS	PASS	FALSE
ASV9	255	276412	171	3D7	PF3D7_0630600	0	0	PF3D7_1246500	118	3	PASS	PASS	FALSE
ASV10	206	265500	147	N	PF3D7_1252100	1	0	PF3D7_1252100	2	0	PASS	PASS	FALSE
ASV11	259	260394	89	N	PfSERA2_1	4	0	PfSERA2_1	1	0	PASS	PASS	FALSE
ASV12	243	242432	159	DD2	PF13_0125	1	0	PF13_0125	0	0	PASS	PASS	FALSE
ASV13	234	241406	96	3D7	PF3D7_1455300	0	0	PF3D7_1455300	1	0	PASS	PASS	FALSE
ASV14	251	232598	61	DD2	PF3D7_0827100	2	0	PF3D7_0827100	0	0	PASS	PASS	FALSE
ASV15	234	215979	72	N	PF3D7_1455300	1	0	PF3D7_1455300	2	0	PASS	PASS	FALSE
ASV16	267	210635	171	3D7	PF3D7_1145400	0	0	PF3D7_1353100	133	9	PASS	PASS	FALSE
ASV17	148	210205	169	3D7	RAMA	0	0	RAMA	1	0	PASS	PASS	FALSE
