hapid	haplength	total_reads	total_samples	strain	refid_3D7	snv_dist_from_3D7	indel_dist_from_3D7	refid_DD2	snv_dist_from_DD2	indel_dist_from_DD2	snv_filter	indel_filter	bimera
ASV1	166	34938	22	N	PF11_0373	1	0	PF11_0373	1	0	PASS	PASS	FALSE
ASV2	296	34275	6	3D7	PSOP24	0	0	PF3D7_0217200	134	3	PASS	PASS	FALSE
ASV3	267	27721	34	3D7	PF3D7_1145400	0	0	PF3D7_1353100	133	9	PASS	PASS	FALSE
ASV4	211	27360	45	3D7	PF3D7_0419900_2	0	0	PfMDR1_1	99	7	PASS	PASS	FALSE
ASV5	160	27268	8	N	PF3D7_1302900	3	0	PF3D7_1302900	3	0	PASS	PASS	FALSE
ASV6	217	22329	28	DD2	PF3D7_1473700	1	0	PF3D7_1473700	0	0	PASS	PASS	FALSE
ASV7	240	20866	44	DD2	PF3D7_0806200	3	0	PF3D7_0806200	0	0	PASS	PASS	FALSE
ASV8	251	19172	17	DD2	PF3D7_0827100	2	0	PF3D7_0827100	0	0	PASS	PASS	FALSE
ASV9	259	15203	3	DD2	PfSERA2_1	3	0	PfSERA2_1	0	0	PASS	PASS	FALSE
ASV10	234	13946	3	DD2	PF3D7_1455300	1	0	PF3D7_1455300	0	0	PASS	PASS	FALSE
ASV11	283	12662	48	3D7	PF3D7_1408100_1	0	0	PF3D7_1035100	138	3	PASS	PASS	FALSE
ASV12	243	12499	22	DD2	PF13_0125	1	0	PF13_0125	0	0	PASS	PASS	FALSE
ASV13	288	12353	1	N	PfCSP_1	7	0	PfCSP_1	3	0	PASS	PASS	FALSE
ASV14	35	12299	3	3D7	PfMDR1_3	0	0	PfDHPS_2	20	6	PASS	PASS	FALSE
ASV15	194	11295	3	DD2	PF3D7_0910000	1	0	PF3D7_0910000	0	0	PASS	PASS	FALSE
ASV16	320	10807	3	DD2	PfTRAP_1	5	0	PfTRAP_1	0	0	PASS	PASS	FALSE
ASV17	296	10687	43	N	PSOP24	1	0	PF3D7_0217200	135	3	PASS	PASS	FALSE
ASV18	236	10682	20	3D7	PF3D7_1407800	0	0	PfSERA3	113	3	PASS	PASS	FALSE
ASV19	208	10269	2	DD2	PF3D7_0401900	0	36	PF3D7_0401900	0	0	PASS	FAIL	FALSE
ASV20	256	10144	44	DD2	PF3D7_0211700	0	30	PF3D7_0211700	0	0	PASS	PASS	FALSE
ASV21	222	9677	31	DD2	PF3D7_0612900	2	0	PF3D7_0612900	0	0	PASS	PASS	FALSE
ASV22	176	9569	21	3D7	MSRP4	0	0	PF3D7_1018600	81	4	PASS	PASS	FALSE
ASV23	234	9250	47	3D7	PF3D7_1008700	0	0	PF3D7_1320700	118	2	PASS	PASS	FALSE
ASV24	211	8998	41	DD2	PF3D7_0504400	1	0	PF3D7_0504400	0	0	PASS	PASS	FALSE
ASV25	219	8749	3	DD2	Pfs16	2	0	Pfs16	0	0	PASS	PASS	FALSE
ASV26	255	8231	39	3D7	PF3D7_0630600	0	0	PF3D7_1246500	118	3	PASS	PASS	FALSE
ASV27	206	7893	5	DD2	PF3D7_1252100	1	0	PF3D7_1252100	0	0	PASS	PASS	FALSE
ASV28	152	7389	3	DD2	PfDHFR_1	2	0	PfDHFR_1	0	0	PASS	PASS	FALSE
ASV29	209	7388	28	3D7	PF3D7_0807800	0	0	PF3D7_0401900	94	1	PASS	PASS	FALSE
ASV30	148	6945	3	DD2	RAMA	1	0	RAMA	0	0	PASS	PASS	FALSE
ASV31	186	6733	5	DD2	PF3D7_0220800	1	0	PF3D7_0220800	0	0	PASS	PASS	FALSE
ASV32	165	6677	38	DD2	PF3D7_0806300	1	0	PF3D7_0806300	0	0	PASS	PASS	FALSE
ASV33	160	6273	3	DD2	PF3D7_1302900	2	0	PF3D7_1302900	0	0	PASS	PASS	FALSE
ASV34	250	6223	8	DD2	PF3D7_0411900_2	1	0	PF3D7_0411900_2	0	0	PASS	PASS	FALSE
ASV35	226	5999	21	3D7	GAMA	0	0	RhopH3	108	6	PASS	PASS	FALSE
ASV36	166	5934	22	DD2	PF3D7_0716300	1	0	PF3D7_0716300	0	0	PASS	PASS	FALSE
ASV37	166	5377	3	DD2	PF11_0373	2	0	PF11_0373	0	0	PASS	PASS	FALSE
ASV38	209	5244	18	N	PF3D7_0807800	3	0	PF3D7_0729700	83	10	PASS	PASS	FALSE
ASV39	266	5215	4	3D7	PF3D7_1211900	0	0	PF3D7_0508900	121	8	PASS	PASS	FALSE
ASV40	282	5043	21	DD2	B9	1	0	B9	0	0	PASS	PASS	FALSE
ASV41	274	5040	22	DD2	MSP10	1	0	MSP10	0	0	PASS	PASS	FALSE
ASV42	235	5034	25	3D7	PF3D7_0501800	0	0	PfDHPS_1	99	9	PASS	PASS	FALSE
ASV43	170	4781	42	DD2	PfDHFR_2	1	0	PfDHFR_2	0	0	PASS	PASS	FALSE
ASV44	237	4776	34	3D7	PfKelch13C580Y	0	0	PF3D7_1469600	113	2	PASS	PASS	FALSE
ASV45	194	4768	43	3D7	PF3D7_0910000	0	0	PF3D7_0910000	1	0	PASS	PASS	FALSE
ASV46	190	4702	28	DD2	PF3D7_1418100	1	0	PF3D7_1418100	0	0	PASS	PASS	FALSE
ASV47	217	4575	20	N	PF3D7_1473700	2	0	PF3D7_1473700	1	0	PASS	PASS	FALSE
ASV48	251	4269	31	N	PF3D7_0827100	1	0	PF3D7_0827100	3	0	PASS	PASS	FALSE
ASV49	168	4269	4	DD2	PF3D7_1448500	1	0	PF3D7_1448500	0	0	PASS	PASS	FALSE
ASV50	254	4227	28	DD2	PF3D7_1340400	1	0	PF3D7_1340400	0	0	PASS	PASS	FALSE
ASV51	172	4164	10	3D7	PF3D7_0401900	0	0	PF3D7_0401900	0	36	PASS	PASS	FALSE
ASV52	226	4157	42	3D7	PF3D7_1408000	0	0	PF3D7_0710400	98	10	PASS	PASS	FALSE
ASV53	249	4094	5	DD2	PF3D7_0809400	1	0	PF3D7_0809400	0	0	PASS	PASS	FALSE
ASV54	234	4075	31	3D7	PF3D7_1455300	0	0	PF3D7_1455300	1	0	PASS	PASS	FALSE
ASV55	337	3903	8	N	PfTRAP_1	147	17	PfTRAP_1	149	17	FAIL	PASS	FALSE
ASV56	241	3674	6	3D7	PF3D7_0519300	0	0	PF3D7_1455300	111	7	PASS	PASS	FALSE
ASV57	244	3671	22	DD2	PF3D7_0935400	2	0	PF3D7_0935400	0	0	PASS	PASS	FALSE
ASV58	226	3536	29	N	GAMA	1	0	RhopH3	108	6	PASS	PASS	FALSE
ASV59	234	3479	31	3D7	PF3D7_0728200	0	0	PF3D7_1455300	113	6	PASS	PASS	FALSE
ASV60	247	3467	14	DD2	PF3D7_1429500	1	0	PF3D7_1429500	0	0	PASS	PASS	FALSE
ASV61	166	3410	19	3D7	PF3D7_0716300	0	0	PF3D7_0716300	1	0	PASS	PASS	FALSE
ASV62	214	3007	16	DD2	PF3D7_0422500	1	0	PF3D7_0422500	0	0	PASS	PASS	FALSE
ASV63	261	2850	34	3D7	PF10_0119	0	0	PF3D7_0503200	109	0	PASS	PASS	FALSE
ASV64	219	2792	32	3D7	Pfs16	0	0	Pfs16	2	0	PASS	PASS	FALSE
ASV65	259	2726	26	N	PfSERA2_1	5	0	PfSERA2_1	2	0	PASS	PASS	FALSE
ASV66	169	2658	14	3D7	PF3D7_1329100	0	0	PF11_0373	72	3	PASS	PASS	FALSE
ASV67	276	2562	3	DD2	PF3D7_0525100	2	0	PF3D7_0525100	0	0	PASS	PASS	FALSE
ASV68	320	2554	24	N	PfTRAP_1	6	0	PfTRAP_1	1	0	PASS	PASS	FALSE
ASV69	176	2246	18	3D7	MSP11.H103.MSP3.7	0	0	PF3D7_0830800_1	96	1	PASS	PASS	FALSE
ASV70	248	2210	3	DD2	PF3D7_0615900	1	3	PF3D7_0615900	0	0	PASS	PASS	FALSE
ASV71	196	2130	3	DD2	PfAMA_1	6	0	PfAMA_1	0	0	PASS	PASS	FALSE
ASV72	148	2126	39	3D7	RAMA	0	0	RAMA	1	0	PASS	PASS	FALSE
ASV73	225	2122	34	3D7	PF3D7_0411900_1	0	0	PF3D7_0411900_1	1	0	PASS	PASS	FALSE
ASV74	163	2021	10	DD2	PF3D7_1464700	1	0	PF3D7_1464700	0	0	PASS	PASS	FALSE
ASV75	225	2011	8	DD2	PF3D7_0411900_1	1	0	PF3D7_0411900_1	0	0	PASS	PASS	FALSE
ASV76	206	1987	28	N	PF3D7_1252100	1	0	PF3D7_1252100	2	0	PASS	PASS	FALSE
ASV77	254	1959	27	DD2	PF3D7_1246500	1	0	PF3D7_1246500	0	0	PASS	PASS	FALSE
ASV78	259	1888	12	N	PfSERA2_1	4	0	PfSERA2_1	1	0	PASS	PASS	FALSE
ASV79	178	1884	37	3D7	Pf113	0	0	PF3D7_0830800_1	81	1	PASS	PASS	FALSE
ASV80	218	1882	12	DD2	GEST	2	0	GEST	0	0	PASS	PASS	FALSE
ASV81	267	1869	10	N	PF3D7_1145400	1	0	PF3D7_1352900	130	6	PASS	PASS	FALSE
ASV82	160	1866	1	N	PF3D7_1302900	4	0	PF3D7_1302900	4	0	PASS	PASS	TRUE
ASV83	145	1842	24	DD2	CS	1	0	CS	0	0	PASS	PASS	FALSE
ASV84	274	1789	23	3D7	PF3D7_1429800	0	0	PF3D7_1035700	133	11	PASS	PASS	FALSE
ASV85	276	1771	3	DD2	PF3D7_1353100	3	0	PF3D7_1353100	0	0	PASS	PASS	FALSE
ASV86	279	1767	29	3D7	PF3D7_1354200	0	0	PF3D7_0217200	111	16	PASS	PASS	FALSE
ASV87	160	1706	25	N	PF3D7_1302900	3	0	PF3D7_1302900	3	0	PASS	PASS	FALSE
ASV88	154	1676	42	3D7	MAL13P1.50	0	0	PF3D7_0724700	73	1	PASS	PASS	FALSE
ASV89	243	1671	16	3D7	PF13_0125	0	0	PF13_0125	1	0	PASS	PASS	FALSE
ASV90	285	1634	20	DD2	PF3D7_1035700	4	0	PF3D7_1035700	0	0	PASS	PASS	FALSE
ASV91	218	1548	27	3D7	PF3D7_1007900	0	0	PF3D7_0422500	99	4	PASS	PASS	FALSE
ASV92	155	1543	23	DD2	PF3D7_0724700	1	0	PF3D7_0724700	0	0	PASS	PASS	FALSE
ASV93	186	1525	26	N	PF3D7_0220800	1	0	PF3D7_0220800	2	0	PASS	PASS	FALSE
ASV94	247	1522	31	N	PF3D7_1429500	2	0	PF3D7_1429500	1	0	PASS	PASS	FALSE
ASV95	276	1447	20	DD2	PF3D7_1472300	1	0	PF3D7_1472300	0	0	PASS	PASS	FALSE
ASV96	35	1436	1	N	PfMDR1_3	3	0	PfDHPS_2	21	6	PASS	PASS	FALSE
ASV97	168	1352	20	3D7	PF3D7_1448500	0	0	PF3D7_1448500	1	0	PASS	PASS	FALSE
ASV98	176	1331	15	N	MSRP4	2	0	PF3D7_1018600	81	4	PASS	PASS	FALSE
ASV99	172	1284	6	N	PF3D7_0401900	2	0	PF3D7_0401900	2	36	PASS	PASS	FALSE
ASV100	286	1264	4	DD2	PF3D7_1035100	5	0	PF3D7_1035100	0	0	PASS	PASS	FALSE
ASV101	303	1258	8	DD2	PF3D7_0802000	1	0	PF3D7_0802000	0	0	PASS	PASS	FALSE
ASV102	208	1258	35	3D7	MSRP3	0	0	PfMDR1_1	91	4	PASS	PASS	FALSE
ASV103	190	1231	3	N	PF3D7_0401900	0	18	PF3D7_0401900	0	18	PASS	PASS	FALSE
ASV104	320	1226	16	N	PfTRAP_1	4	0	PfTRAP_1	1	0	PASS	PASS	FALSE
ASV105	234	1210	10	N	PF3D7_1455300	2	0	PF3D7_1455300	1	0	PASS	PASS	FALSE
ASV106	164	1193	15	DD2	PF3D7_1239800_1	1	0	PF3D7_1239800_1	0	0	PASS	PASS	FALSE
ASV107	337	1185	6	N	PfTRAP_1	148	17	PfTRAP_1	149	17	FAIL	PASS	FALSE
ASV108	152	1159	22	N	PfDHFR_1	1	0	PfDHFR_1	1	0	PASS	PASS	FALSE
ASV109	276	1077	30	3D7	PF3D7_0525100	0	0	PF3D7_0525100	2	0	PASS	PASS	FALSE
ASV110	263	1070	7	DD2	PF3D7_1302700	2	0	PF3D7_1302700	0	0	PASS	PASS	FALSE
ASV111	269	1070	2	DD2	PF3D7_1352900	3	0	PF3D7_1352900	0	0	PASS	PASS	FALSE
ASV112	236	1065	6	DD2	PF3D7_1410300	2	0	PF3D7_1410300	0	0	PASS	PASS	FALSE
ASV113	230	1052	21	3D7	PF3D7_1110200	0	0	PF3D7_1469600	106	5	PASS	PASS	FALSE
ASV114	147	1039	33	3D7	PF3D7_1022000	0	0	RAMA	76	1	PASS	PASS	FALSE
ASV115	219	1006	14	N	Pfs16	1	0	Pfs16	1	0	PASS	PASS	FALSE
ASV116	294	981	22	3D7	PF3D7_1466800	0	0	PF3D7_1465800	120	8	PASS	PASS	FALSE
ASV117	276	971	37	N	PF3D7_1353100	2	0	PF3D7_1353100	1	0	PASS	PASS	FALSE
ASV118	166	962	9	3D7	PF11_0373	0	0	PF11_0373	2	0	PASS	PASS	FALSE
ASV119	166	958	11	N	PF11_0373	2	0	PF11_0373	2	0	PASS	PASS	FALSE
ASV120	199	957	19	3D7	PF3D7_1233600	0	0	PfAMA_1	102	5	PASS	PASS	FALSE
ASV121	214	925	27	3D7	PF3D7_0422500	0	0	PF3D7_0422500	1	0	PASS	PASS	FALSE
ASV122	188	915	3	DD2	PF3D7_1475900	2	0	PF3D7_1475900	0	0	PASS	PASS	FALSE
ASV123	250	911	35	3D7	PF3D7_0411900_2	0	0	PF3D7_0411900_2	1	0	PASS	PASS	FALSE
ASV124	41	907	3	DD2	PfDHPS_2	1	0	PfDHPS_2	0	0	PASS	PASS	FALSE
ASV125	244	896	23	N	PF3D7_0935400	1	0	PF3D7_0935400	1	0	PASS	PASS	FALSE
ASV126	266	890	29	N	PF3D7_1211900	1	0	PF3D7_1114900	122	7	PASS	PASS	FALSE
ASV127	156	883	23	3D7	GRP94	0	0	PF3D7_1464700	70	7	PASS	PASS	FALSE
ASV128	218	830	30	N	GEST	3	0	GEST	1	0	PASS	PASS	FALSE
ASV129	235	810	15	N	PF3D7_0501800	1	0	PfDHPS_1	99	9	PASS	PASS	FALSE
ASV130	218	803	8	N	PF3D7_1007900	1	0	PF3D7_0830800_2	95	4	PASS	PASS	FALSE
ASV131	179	794	2	3D7	PF3D7_0104100_1	0	0	PF3D7_1447900	93	1	PASS	PASS	FALSE
ASV132	279	789	24	N	PF3D7_1472300	1	3	PF3D7_1472300	0	3	PASS	PASS	FALSE
ASV133	261	777	3	DD2	PF3D7_0503200	3	0	PF3D7_0503200	0	0	PASS	PASS	FALSE
ASV134	176	770	12	N	MSRP4	1	0	PF3D7_1018600	82	4	PASS	PASS	FALSE
ASV135	259	764	20	DD2	PF3D7_1114900	1	0	PF3D7_1114900	0	0	PASS	PASS	FALSE
ASV136	168	742	16	N	PF3D7_1448500	2	0	PF3D7_1448500	1	0	PASS	PASS	FALSE
ASV137	240	739	2	3D7	PF3D7_0806200	0	0	PF3D7_0806200	3	0	PASS	PASS	FALSE
ASV138	294	738	24	3D7	PF3D7_1407900	0	0	PF3D7_1322200	143	6	PASS	PASS	FALSE
ASV139	169	721	26	N	PF3D7_1329100	1	0	PF11_0373	71	3	PASS	PASS	FALSE
ASV140	241	683	19	N	PF3D7_0519300	1	0	PF3D7_0935400	112	3	PASS	PASS	FALSE
ASV141	243	670	11	N	PF13_0125	2	0	PF13_0125	1	0	PASS	PASS	FALSE
ASV142	241	668	21	N	PF3D7_0519300	2	0	PF3D7_0935400	112	3	PASS	PASS	FALSE
ASV143	251	629	3	3D7	PF3D7_0827100	0	0	PF3D7_0827100	2	0	PASS	PASS	FALSE
ASV144	255	623	9	N	PF3D7_0630600	2	0	PF3D7_1246500	116	3	PASS	PASS	FALSE
ASV145	240	620	2	N	PF3D7_0806200	2	0	PF3D7_0806200	1	0	PASS	PASS	FALSE
ASV146	248	616	11	N	PF3D7_0615900	2	3	PF3D7_0615900	1	0	PASS	PASS	FALSE
ASV147	154	602	4	N	PF3D7_0401900	1	18	PF3D7_0724700	74	1	PASS	PASS	FALSE
ASV148	186	600	12	3D7	PF3D7_0220800	0	0	PF3D7_0220800	1	0	PASS	PASS	FALSE
ASV149	152	595	15	N	PfDHFR_1	2	0	PfDHFR_1	2	0	PASS	PASS	FALSE
ASV150	282	592	12	N	B9	2	0	B9	1	0	PASS	PASS	FALSE
ASV151	179	590	27	N	PF3D7_0104100_1	2	0	PF3D7_1447900	92	1	PASS	PASS	FALSE
ASV152	177	566	30	N	PF3D7_1018600	0	6	PF3D7_1018600	0	3	PASS	PASS	FALSE
ASV153	208	561	3	DD2	PfMDR1_1	2	0	PfMDR1_1	0	0	PASS	PASS	FALSE
ASV154	236	560	21	N	PF3D7_1407800	1	0	PfSERA3	112	3	PASS	PASS	FALSE
ASV155	248	558	11	N	PF3D7_0615900	3	3	PF3D7_0615900	4	0	PASS	PASS	FALSE
ASV156	35	546	24	N	PfMDR1_3	1	0	PfDHPS_2	20	6	PASS	PASS	FALSE
ASV157	160	542	9	N	PF3D7_1302900	3	0	PF3D7_1302900	1	0	PASS	PASS	FALSE
